PeriodStart,PeriodEnd,Period,AirTemp,GtiFixedTilt,PanelTemp,PanelOutput
2019-12-31T00:00:00Z,2019-12-31T00:10:00Z,PT10M,10.9,0,10.9,0.0
2019-12-31T00:10:00Z,2019-12-31T00:20:00Z,PT10M,10.8,0,10.8,0.0
2019-12-31T00:20:00Z,2019-12-31T00:30:00Z,PT10M,10.6,0,10.6,0.0
2019-12-31T00:30:00Z,2019-12-31T00:40:00Z,PT10M,10.6,0,10.6,0.0
2019-12-31T00:40:00Z,2019-12-31T00:50:00Z,PT10M,10.5,0,10.5,0.0
2019-12-31T00:50:00Z,2019-12-31T01:00:00Z,PT10M,10.4,0,10.4,0.0
2019-12-31T01:00:00Z,2019-12-31T01:10:00Z,PT10M,10.2,0,10.2,0.0
2019-12-31T01:10:00Z,2019-12-31T01:20:00Z,PT10M,10.1,0,10.1,0.0
2019-12-31T01:20:00Z,2019-12-31T01:30:00Z,PT10M,10.0,0,10.0,0.0
2019-12-31T01:30:00Z,2019-12-31T01:40:00Z,PT10M,9.9,0,9.9,0.0
2019-12-31T01:40:00Z,2019-12-31T01:50:00Z,PT10M,9.8,0,9.8,0.0
2019-12-31T01:50:00Z,2019-12-31T02:00:00Z,PT10M,9.7,0,9.7,0.0
2019-12-31T02:00:00Z,2019-12-31T02:10:00Z,PT10M,9.5,0,9.5,0.0
2019-12-31T02:10:00Z,2019-12-31T02:20:00Z,PT10M,9.3,0,9.3,0.0
2019-12-31T02:20:00Z,2019-12-31T02:30:00Z,PT10M,9.1,0,9.1,0.0
2019-12-31T02:30:00Z,2019-12-31T02:40:00Z,PT10M,8.8,0,8.8,0.0
2019-12-31T02:40:00Z,2019-12-31T02:50:00Z,PT10M,8.6,0,8.6,0.0
2019-12-31T02:50:00Z,2019-12-31T03:00:00Z,PT10M,8.4,0,8.4,0.0
2019-12-31T03:00:00Z,2019-12-31T03:10:00Z,PT10M,8.3,0,8.3,0.0
2019-12-31T03:10:00Z,2019-12-31T03:20:00Z,PT10M,8.2,0,8.2,0.0
2019-12-31T03:20:00Z,2019-12-31T03:30:00Z,PT10M,8.2,0,8.2,0.0
2019-12-31T03:30:00Z,2019-12-31T03:40:00Z,PT10M,8.1,0,8.1,0.0
2019-12-31T03:40:00Z,2019-12-31T03:50:00Z,PT10M,8.1,0,8.1,0.0
2019-12-31T03:50:00Z,2019-12-31T04:00:00Z,PT10M,8.0,0,8.0,0.0
2019-12-31T04:00:00Z,2019-12-31T04:10:00Z,PT10M,7.9,0,7.9,0.0
2019-12-31T04:10:00Z,2019-12-31T04:20:00Z,PT10M,7.8,0,7.8,0.0
2019-12-31T04:20:00Z,2019-12-31T04:30:00Z,PT10M,7.7,0,7.7,0.0
2019-12-31T04:30:00Z,2019-12-31T04:40:00Z,PT10M,7.6,0,7.6,0.0
2019-12-31T04:40:00Z,2019-12-31T04:50:00Z,PT10M,7.5,0,7.5,0.0
2019-12-31T04:50:00Z,2019-12-31T05:00:00Z,PT10M,7.4,0,7.4,0.0
2019-12-31T05:00:00Z,2019-12-31T05:10:00Z,PT10M,7.3,0,7.3,0.0
2019-12-31T05:10:00Z,2019-12-31T05:20:00Z,PT10M,7.2,0,7.2,0.0
2019-12-31T05:20:00Z,2019-12-31T05:30:00Z,PT10M,7.2,0,7.2,0.0
2019-12-31T05:30:00Z,2019-12-31T05:40:00Z,PT10M,7.1,0,7.1,0.0
2019-12-31T05:40:00Z,2019-12-31T05:50:00Z,PT10M,7.1,0,7.1,0.0
2019-12-31T05:50:00Z,2019-12-31T06:00:00Z,PT10M,7.0,0,7.0,0.0
2019-12-31T06:00:00Z,2019-12-31T06:10:00Z,PT10M,7.0,0,7.0,0.0
2019-12-31T06:10:00Z,2019-12-31T06:20:00Z,PT10M,6.9,0,6.9,0.0
2019-12-31T06:20:00Z,2019-12-31T06:30:00Z,PT10M,6.9,0,6.9,0.0
2019-12-31T06:30:00Z,2019-12-31T06:40:00Z,PT10M,6.8,0,6.8,0.0
2019-12-31T06:40:00Z,2019-12-31T06:50:00Z,PT10M,6.8,0,6.8,0.0
2019-12-31T06:50:00Z,2019-12-31T07:00:00Z,PT10M,6.7,0,6.7,0.0
2019-12-31T07:00:00Z,2019-12-31T07:10:00Z,PT10M,6.6,0,6.6,0.0
2019-12-31T07:10:00Z,2019-12-31T07:20:00Z,PT10M,6.6,0,6.6,0.0
2019-12-31T07:20:00Z,2019-12-31T07:30:00Z,PT10M,6.5,0,6.5,0.0
2019-12-31T07:30:00Z,2019-12-31T07:40:00Z,PT10M,6.4,0,6.4,0.0
2019-12-31T07:40:00Z,2019-12-31T07:50:00Z,PT10M,6.2,0,6.2,0.0
2019-12-31T07:50:00Z,2019-12-31T08:00:00Z,PT10M,6.2,0,6.2,0.0
2019-12-31T08:00:00Z,2019-12-31T08:10:00Z,PT10M,6.0,0,6.0,0.0
2019-12-31T08:10:00Z,2019-12-31T08:20:00Z,PT10M,5.9,0,5.9,0.0
2019-12-31T08:20:00Z,2019-12-31T08:30:00Z,PT10M,5.7,0,5.7,0.0
2019-12-31T08:30:00Z,2019-12-31T08:40:00Z,PT10M,5.5,0,5.5,0.0
2019-12-31T08:40:00Z,2019-12-31T08:50:00Z,PT10M,5.4,0,5.4,0.0
2019-12-31T08:50:00Z,2019-12-31T09:00:00Z,PT10M,5.2,0,5.2,0.0
2019-12-31T09:00:00Z,2019-12-31T09:10:00Z,PT10M,5.0,0,5.0,0.0
2019-12-31T09:10:00Z,2019-12-31T09:20:00Z,PT10M,4.8,0,4.8,0.0
2019-12-31T09:20:00Z,2019-12-31T09:30:00Z,PT10M,4.6,0,4.6,0.0
2019-12-31T09:30:00Z,2019-12-31T09:40:00Z,PT10M,4.5,0,4.5,0.0
2019-12-31T09:40:00Z,2019-12-31T09:50:00Z,PT10M,4.3,0,4.3,0.0
2019-12-31T09:50:00Z,2019-12-31T10:00:00Z,PT10M,4.1,0,4.1,0.0
2019-12-31T10:00:00Z,2019-12-31T10:10:00Z,PT10M,4.0,0,4.0,0.0
2019-12-31T10:10:00Z,2019-12-31T10:20:00Z,PT10M,4.0,0,4.0,0.0
2019-12-31T10:20:00Z,2019-12-31T10:30:00Z,PT10M,4.0,0,4.0,0.0
2019-12-31T10:30:00Z,2019-12-31T10:40:00Z,PT10M,4.0,0,4.0,0.0
2019-12-31T10:40:00Z,2019-12-31T10:50:00Z,PT10M,4.0,0,4.0,0.0
2019-12-31T10:50:00Z,2019-12-31T11:00:00Z,PT10M,4.0,0,4.0,0.0
2019-12-31T11:00:00Z,2019-12-31T11:10:00Z,PT10M,4.0,0,4.0,0.0
2019-12-31T11:10:00Z,2019-12-31T11:20:00Z,PT10M,4.0,0,4.0,0.0
2019-12-31T11:20:00Z,2019-12-31T11:30:00Z,PT10M,3.9,0,3.9,0.0
