PeriodStart,PeriodEnd,Period,AirTemp,GtiFixedTilt,PanelTemp,PanelOutput
2019-12-31T00:00:00Z,2019-12-31T00:10:00Z,PT10M,9.4,0,9.4,0.0
2019-12-31T00:10:00Z,2019-12-31T00:20:00Z,PT10M,9.2,0,9.2,0.0
2019-12-31T00:20:00Z,2019-12-31T00:30:00Z,PT10M,9.0,0,9.0,0.0
2019-12-31T00:30:00Z,2019-12-31T00:40:00Z,PT10M,8.8,0,8.8,0.0
2019-12-31T00:40:00Z,2019-12-31T00:50:00Z,PT10M,8.6,0,8.6,0.0
2019-12-31T00:50:00Z,2019-12-31T01:00:00Z,PT10M,8.4,0,8.4,0.0
2019-12-31T01:00:00Z,2019-12-31T01:10:00Z,PT10M,8.2,0,8.2,0.0
2019-12-31T01:10:00Z,2019-12-31T01:20:00Z,PT10M,8.1,0,8.1,0.0
2019-12-31T01:20:00Z,2019-12-31T01:30:00Z,PT10M,7.9,0,7.9,0.0
2019-12-31T01:30:00Z,2019-12-31T01:40:00Z,PT10M,7.8,0,7.8,0.0
2019-12-31T01:40:00Z,2019-12-31T01:50:00Z,PT10M,7.6,0,7.6,0.0
2019-12-31T01:50:00Z,2019-12-31T02:00:00Z,PT10M,7.5,0,7.5,0.0
2019-12-31T02:00:00Z,2019-12-31T02:10:00Z,PT10M,7.3,0,7.3,0.0
2019-12-31T02:10:00Z,2019-12-31T02:20:00Z,PT10M,7.0,0,7.0,0.0
2019-12-31T02:20:00Z,2019-12-31T02:30:00Z,PT10M,6.7,0,6.7,0.0
2019-12-31T02:30:00Z,2019-12-31T02:40:00Z,PT10M,6.4,0,6.4,0.0
2019-12-31T02:40:00Z,2019-12-31T02:50:00Z,PT10M,6.1,0,6.1,0.0
2019-12-31T02:50:00Z,2019-12-31T03:00:00Z,PT10M,5.8,0,5.8,0.0
2019-12-31T03:00:00Z,2019-12-31T03:10:00Z,PT10M,5.6,0,5.6,0.0
2019-12-31T03:10:00Z,2019-12-31T03:20:00Z,PT10M,5.5,0,5.5,0.0
2019-12-31T03:20:00Z,2019-12-31T03:30:00Z,PT10M,5.4,0,5.4,0.0
2019-12-31T03:30:00Z,2019-12-31T03:40:00Z,PT10M,5.3,0,5.3,0.0
2019-12-31T03:40:00Z,2019-12-31T03:50:00Z,PT10M,5.2,0,5.2,0.0
2019-12-31T03:50:00Z,2019-12-31T04:00:00Z,PT10M,5.1,0,5.1,0.0
2019-12-31T04:00:00Z,2019-12-31T04:10:00Z,PT10M,4.9,0,4.9,0.0
2019-12-31T04:10:00Z,2019-12-31T04:20:00Z,PT10M,4.8,0,4.8,0.0
2019-12-31T04:20:00Z,2019-12-31T04:30:00Z,PT10M,4.7,0,4.7,0.0
2019-12-31T04:30:00Z,2019-12-31T04:40:00Z,PT10M,4.6,0,4.6,0.0
2019-12-31T04:40:00Z,2019-12-31T04:50:00Z,PT10M,4.5,0,4.5,0.0
2019-12-31T04:50:00Z,2019-12-31T05:00:00Z,PT10M,4.4,0,4.4,0.0
2019-12-31T05:00:00Z,2019-12-31T05:10:00Z,PT10M,4.2,0,4.2,0.0
2019-12-31T05:10:00Z,2019-12-31T05:20:00Z,PT10M,4.1,0,4.1,0.0
2019-12-31T05:20:00Z,2019-12-31T05:30:00Z,PT10M,3.9,0,3.9,0.0
2019-12-31T05:30:00Z,2019-12-31T05:40:00Z,PT10M,3.8,0,3.8,0.0
2019-12-31T05:40:00Z,2019-12-31T05:50:00Z,PT10M,3.6,0,3.6,0.0
2019-12-31T05:50:00Z,2019-12-31T06:00:00Z,PT10M,3.5,0,3.5,0.0
2019-12-31T06:00:00Z,2019-12-31T06:10:00Z,PT10M,3.4,0,3.4,0.0
2019-12-31T06:10:00Z,2019-12-31T06:20:00Z,PT10M,3.4,0,3.4,0.0
2019-12-31T06:20:00Z,2019-12-31T06:30:00Z,PT10M,3.4,0,3.4,0.0
2019-12-31T06:30:00Z,2019-12-31T06:40:00Z,PT10M,3.4,0,3.4,0.0
2019-12-31T06:40:00Z,2019-12-31T06:50:00Z,PT10M,3.4,0,3.4,0.0
2019-12-31T06:50:00Z,2019-12-31T07:00:00Z,PT10M,3.4,0,3.4,0.0
2019-12-31T07:00:00Z,2019-12-31T07:10:00Z,PT10M,3.3,0,3.3,0.0
